player,age,tm.x,number,position,ht,wt,college,country
James Johnson,33,DAL,16,F,7-Jun,240,Wake Forest,USA
Keldon Johnson,21,SAS,3,F-G,5-Jun,220,Kentucky,USA
Stanley Johnson,24,TOR,5,F-G,6-Jun,242,Arizona,USA
Tyler Johnson,28,BRK,10,G,3-Jun,186,Fresno State,USA
Nikola Jokić,25,DEN,NA,NA,NA,NA,NA,NA
Damian Jones,25,PHO,30,C,11-Jun,245,Vanderbilt,USA
Derrick Jones Jr.,23,POR,55,F,5-Jun,210,UNLV,USA
Mason Jones,22,HOU,9,G,4-Jun,200,Arkansas,USA
Tre Jones,21,SAS,33,G,1-Jun,185,Duke,USA
Tyus Jones,24,MEM,21,G,1-Jun,196,Duke,USA
DeAndre Jordan,32,BRK,6,C,11-Jun,265,Texas A&M,USA
Cory Joseph,29,SAC,9,G,3-Jun,200,Texas,Canada
Mfiondu Kabengele,23,LAC,25,F-C,9-Jun,250,Florida State,Canada
Frank Kaminsky,27,PHO,8,F-C,1-Jul,240,Wisconsin,USA
Enes Kanter,28,POR,11,C,10-Jun,250,Fenerbahce,Turkey
Luke Kennard,24,LAC,5,G,5-Jun,206,Duke,USA
Maxi Kleber,29,DAL,42,F,10-Jun,240,Bayern Munich,Germany
Nathan Knight,23,ATL,1,F-C,10-Jun,253,William & Mary,USA
Kevin Knox,21,NYK,NA,NA,NA,NA,NA,NA
John Konchar,24,MEM,46,G,5-Jun,210,Indiana-Purdue Fort Wayne,USA
Furkan Korkmaz,23,PHI,30,G-F,7-Jun,202,Anadolu Efes,Turkey
Luke Kornet,25,CHI,2,F-C,2-Jul,250,Vanderbilt,USA
Rodions Kurucs,22,TOT,0,F,9-Jun,228,FC Barcelona,Latvia
Kyle Kuzma,25,LAL,0,F,10-Jun,221,Utah,USA
Jeremy Lamb,28,IND,26,G-F,5-Jun,180,Connecticut,USA
Zach LaVine,25,CHI,8,G-F,5-Jun,200,UCLA,USA
Jake Layman,26,MIN,10,F,8-Jun,209,Maryland,USA
